"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 12 15:15:44 IST 2021","Sun Sep 12 15:15:57 IST 2021","13079","","","","","","Login to OrangeHRM with valid parameters",""
"passed","Sun Sep 12 15:15:57 IST 2021","Sun Sep 12 15:16:05 IST 2021","7713","","","","","","Logo presence on OrangeHRM home page",""
